               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.031816,           0.0099001,           0.0042807,             0.92751,             0.93417,             0.94613,             0.64223,            0.027073,           0.0072536,           0.0040777,            0.006535,            0.006535,            0.006535
                  37,            0.030991,           0.0098308,           0.0043651,             0.93802,             0.91257,              0.9451,             0.62752,             0.02821,           0.0072632,           0.0041865,            0.006436,            0.006436,            0.006436
                  38,            0.031263,           0.0098585,            0.004364,             0.96033,             0.90497,             0.95236,             0.63316,            0.027422,           0.0072495,            0.004098,            0.006337,            0.006337,            0.006337
                  39,             0.03012,           0.0095833,            0.004236,             0.93046,             0.93133,             0.94848,             0.63764,            0.027327,           0.0071317,           0.0040977,            0.006238,            0.006238,            0.006238
                  40,            0.030673,           0.0096035,           0.0041922,             0.95081,             0.92856,             0.95554,             0.65284,            0.025987,           0.0069861,           0.0039432,            0.006139,            0.006139,            0.006139
                  41,            0.030264,           0.0093178,           0.0042214,             0.96673,               0.913,             0.95179,             0.63704,             0.02693,           0.0070405,           0.0039392,             0.00604,             0.00604,             0.00604
                  42,             0.03013,           0.0091937,           0.0039347,              0.9515,             0.92532,             0.95046,             0.64592,            0.026501,            0.007134,           0.0040652,            0.005941,            0.005941,            0.005941
                  43,            0.029624,           0.0091491,           0.0041294,             0.95152,             0.90872,             0.94871,             0.64111,            0.026682,           0.0070911,           0.0042005,            0.005842,            0.005842,            0.005842
                  44,            0.030051,           0.0091804,           0.0043303,             0.96818,             0.92119,              0.9539,             0.65718,            0.026098,           0.0068774,           0.0039958,            0.005743,            0.005743,            0.005743
                  45,            0.029057,           0.0093612,           0.0042881,             0.94908,             0.92049,             0.95712,             0.66718,            0.026125,           0.0068985,           0.0041018,            0.005644,            0.005644,            0.005644
                  46,            0.028371,           0.0090058,           0.0037037,             0.95495,                0.92,             0.95448,              0.6502,              0.0263,           0.0068943,           0.0041182,            0.005545,            0.005545,            0.005545
                  47,            0.029028,           0.0090787,           0.0040682,             0.96452,              0.9236,             0.95699,             0.66266,            0.025662,           0.0067696,           0.0039708,            0.005446,            0.005446,            0.005446
                  48,            0.028321,           0.0089722,           0.0039041,             0.96229,             0.91698,             0.95284,             0.65485,            0.025941,           0.0067018,           0.0040439,            0.005347,            0.005347,            0.005347
                  49,            0.027832,           0.0087556,           0.0038792,             0.94169,             0.90261,             0.94314,             0.65705,            0.026051,           0.0069984,           0.0045208,            0.005248,            0.005248,            0.005248
                  50,            0.027845,           0.0090379,           0.0039648,             0.93999,             0.92936,             0.95313,             0.64315,            0.026579,           0.0068057,           0.0038693,            0.005149,            0.005149,            0.005149
                  51,            0.027902,           0.0085824,            0.003659,             0.95568,              0.9142,             0.95666,             0.66957,            0.025345,           0.0066811,            0.003908,             0.00505,             0.00505,             0.00505
                  52,            0.027354,            0.008781,           0.0037605,             0.96114,             0.90329,             0.95236,             0.66477,            0.025304,           0.0068763,           0.0042699,            0.004951,            0.004951,            0.004951
                  53,            0.027434,           0.0087193,           0.0036919,             0.95676,             0.91258,             0.95015,             0.65636,            0.025565,            0.006869,           0.0042367,            0.004852,            0.004852,            0.004852
                  54,            0.027919,           0.0089174,           0.0036845,             0.95883,             0.91773,             0.95992,             0.67569,            0.024996,            0.006612,           0.0037371,            0.004753,            0.004753,            0.004753
                  55,             0.02694,           0.0086119,           0.0038243,             0.95634,              0.9341,             0.96138,             0.66586,            0.024969,           0.0064601,           0.0037683,            0.004654,            0.004654,            0.004654
                  56,            0.026373,           0.0087901,            0.003606,              0.9649,             0.94172,              0.9676,             0.66982,            0.025223,           0.0065439,           0.0036607,            0.004555,            0.004555,            0.004555
