               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.018489,            0.010121,           0.0032554,             0.95365,             0.93399,             0.96823,             0.79127,            0.013034,            0.004523,           0.0026094,             0.00769,             0.00769,             0.00769
                  37,            0.018222,           0.0098148,           0.0031337,             0.95094,             0.94098,             0.96917,             0.79398,            0.013033,           0.0045866,           0.0026105,            0.007624,            0.007624,            0.007624
                  38,              0.0177,            0.009737,            0.003098,             0.95519,             0.93192,             0.96757,              0.8031,             0.01236,           0.0045017,           0.0030772,            0.007558,            0.007558,            0.007558
                  39,            0.017989,           0.0098869,           0.0030791,             0.95793,             0.94324,             0.97266,             0.79913,            0.012451,           0.0043816,           0.0024835,            0.007492,            0.007492,            0.007492
                  40,            0.018038,           0.0097947,           0.0029882,             0.95409,             0.93695,             0.96982,             0.80219,            0.012577,           0.0044516,           0.0025826,            0.007426,            0.007426,            0.007426
                  41,             0.01772,            0.009687,           0.0029434,             0.94707,             0.92491,              0.9607,             0.79529,            0.012585,           0.0045982,           0.0034827,             0.00736,             0.00736,             0.00736
                  42,            0.017697,           0.0097127,           0.0030052,             0.94379,             0.93004,              0.9615,             0.78432,            0.013076,           0.0045855,           0.0035549,            0.007294,            0.007294,            0.007294
                  43,            0.017568,           0.0097098,           0.0029844,             0.96303,             0.94031,             0.96711,              0.7978,            0.012388,           0.0043735,           0.0030563,            0.007228,            0.007228,            0.007228
                  44,            0.017367,           0.0096941,           0.0030685,             0.94659,             0.94636,             0.97039,              0.8027,             0.01216,           0.0042862,           0.0028982,            0.007162,            0.007162,            0.007162
                  45,            0.017238,           0.0094869,           0.0029881,             0.95516,             0.94839,             0.97033,             0.79978,            0.012059,           0.0043922,           0.0024577,            0.007096,            0.007096,            0.007096
                  46,            0.017012,           0.0095317,           0.0028565,             0.95193,              0.9355,             0.96163,             0.78998,             0.01255,           0.0045118,            0.003397,             0.00703,             0.00703,             0.00703
                  47,            0.016851,            0.009506,           0.0027585,             0.95081,             0.94158,             0.96746,             0.80787,             0.01201,           0.0043334,           0.0026061,            0.006964,            0.006964,            0.006964
                  48,            0.016809,           0.0093519,           0.0028311,             0.94959,             0.94271,             0.96412,             0.80242,            0.012087,           0.0042946,           0.0033068,            0.006898,            0.006898,            0.006898
                  49,            0.016734,            0.009466,           0.0028025,             0.95143,             0.94686,             0.96943,             0.80469,            0.011951,           0.0042646,           0.0024097,            0.006832,            0.006832,            0.006832
                  50,            0.016708,           0.0093324,           0.0027817,             0.95597,             0.94242,             0.97006,             0.81711,            0.011702,           0.0042423,           0.0024565,            0.006766,            0.006766,            0.006766
                  51,            0.016521,           0.0091941,           0.0027461,              0.9545,             0.94736,             0.97364,             0.81365,            0.011493,           0.0041675,           0.0026474,              0.0067,              0.0067,              0.0067
                  52,            0.016404,           0.0092755,           0.0028591,             0.94817,             0.94762,             0.97086,             0.81452,            0.011563,           0.0041959,           0.0024196,            0.006634,            0.006634,            0.006634
                  53,            0.016174,           0.0091195,           0.0027123,             0.95301,             0.94925,             0.97175,              0.8141,            0.011472,           0.0041616,           0.0025662,            0.006568,            0.006568,            0.006568
                  54,            0.016296,           0.0090933,           0.0026756,             0.95366,             0.94333,              0.9695,             0.81273,            0.011555,           0.0042486,           0.0028262,            0.006502,            0.006502,            0.006502
                  55,            0.016046,           0.0089817,           0.0026256,             0.95562,             0.94778,             0.97106,             0.81967,            0.011291,           0.0040841,           0.0023974,            0.006436,            0.006436,            0.006436
                  56,            0.015946,           0.0090808,           0.0026337,             0.95488,             0.94647,             0.96637,             0.81641,            0.011224,           0.0041436,            0.002731,             0.00637,             0.00637,             0.00637
                  57,              0.0158,           0.0089984,           0.0026608,             0.95789,             0.94474,             0.96784,             0.81138,            0.011386,           0.0041249,           0.0024826,            0.006304,            0.006304,            0.006304
                  58,            0.015747,           0.0090149,           0.0026436,             0.95765,             0.94334,             0.97103,             0.81246,            0.011278,           0.0040765,           0.0026121,            0.006238,            0.006238,            0.006238
                  59,            0.015644,           0.0089912,            0.002516,             0.95933,             0.94239,             0.97038,             0.81818,             0.01117,           0.0041298,           0.0023414,            0.006172,            0.006172,            0.006172
                  60,             0.01551,           0.0088792,           0.0025485,             0.96279,             0.94235,             0.97065,              0.8228,            0.010908,           0.0040257,           0.0022342,            0.006106,            0.006106,            0.006106
                  61,             0.01537,           0.0087445,           0.0024991,              0.9533,             0.94747,             0.96988,             0.82339,            0.010976,           0.0040424,           0.0023248,             0.00604,             0.00604,             0.00604
                  62,             0.01548,           0.0088196,           0.0025679,              0.9534,             0.93587,             0.96554,             0.81635,            0.011253,           0.0040955,            0.002989,            0.005974,            0.005974,            0.005974
                  63,            0.015263,           0.0087092,           0.0025132,             0.96569,              0.9408,             0.97067,              0.8207,            0.011056,           0.0040013,           0.0023119,            0.005908,            0.005908,            0.005908
                  64,            0.015249,           0.0086682,           0.0024404,             0.95882,             0.95049,             0.97083,             0.82269,            0.011006,           0.0040842,           0.0022098,            0.005842,            0.005842,            0.005842
                  65,            0.015011,           0.0086905,           0.0024504,             0.96079,             0.93733,             0.96829,              0.8167,            0.011038,           0.0041195,           0.0025948,            0.005776,            0.005776,            0.005776
                  66,            0.015045,           0.0085711,           0.0025266,              0.9675,             0.94019,             0.97279,             0.82695,            0.010848,           0.0039974,            0.002536,             0.00571,             0.00571,             0.00571
