               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.01707,            0.010167,           0.0032452,             0.95127,             0.93963,             0.97249,             0.81235,            0.011854,           0.0048192,           0.0028482,             0.00769,             0.00769,             0.00769
                  37,            0.017079,           0.0098753,           0.0031443,             0.93977,             0.93368,             0.96657,              0.7891,             0.01245,           0.0048782,            0.003193,            0.007624,            0.007624,            0.007624
                  38,            0.016905,           0.0097996,           0.0030346,             0.94082,             0.89072,             0.94536,             0.74831,            0.014044,           0.0055966,           0.0046707,            0.007558,            0.007558,            0.007558
                  39,            0.016944,           0.0099631,           0.0029798,             0.94564,             0.93212,             0.96449,             0.79077,            0.012503,           0.0050143,           0.0033099,            0.007492,            0.007492,            0.007492
                  40,             0.01641,           0.0098722,            0.002926,              0.9458,             0.94179,             0.96984,             0.81198,            0.011475,           0.0047091,           0.0030276,            0.007426,            0.007426,            0.007426
                  41,            0.016429,           0.0097596,           0.0028946,             0.94873,             0.93399,             0.96807,             0.81627,            0.011368,           0.0048095,           0.0030737,             0.00736,             0.00736,             0.00736
                  42,            0.016088,           0.0097882,           0.0029165,             0.95236,             0.94227,             0.96938,             0.81926,            0.011346,           0.0046804,           0.0029542,            0.007294,            0.007294,            0.007294
                  43,            0.016534,           0.0097956,           0.0028697,             0.95919,             0.93476,              0.9699,             0.81368,            0.011391,           0.0046695,           0.0027433,            0.007228,            0.007228,            0.007228
                  44,            0.015912,           0.0097136,           0.0029739,             0.94396,             0.92357,             0.96565,             0.80911,            0.011422,           0.0047486,           0.0040091,            0.007162,            0.007162,            0.007162
                  45,            0.015986,           0.0095502,           0.0029139,             0.93937,             0.92557,             0.95863,             0.79716,            0.012006,           0.0050253,           0.0035549,            0.007096,            0.007096,            0.007096
                  46,            0.016177,           0.0096744,           0.0028857,             0.95098,             0.93442,             0.96526,             0.81284,            0.011388,           0.0047422,           0.0029995,             0.00703,             0.00703,             0.00703
                  47,            0.015763,           0.0096234,           0.0026905,             0.95087,             0.93827,             0.96836,             0.82237,            0.011089,           0.0046772,           0.0026845,            0.006964,            0.006964,            0.006964
                  48,            0.015696,           0.0093695,           0.0027947,             0.94985,             0.94573,             0.96798,             0.81436,            0.011125,           0.0045755,           0.0028523,            0.006898,            0.006898,            0.006898
                  49,            0.015442,           0.0094159,           0.0027387,             0.95403,             0.92747,             0.96615,             0.81192,            0.011411,           0.0047905,           0.0027673,            0.006832,            0.006832,            0.006832
                  50,            0.015255,           0.0093169,           0.0026746,             0.95618,             0.94241,             0.96718,             0.82091,            0.010908,           0.0045009,           0.0026212,            0.006766,            0.006766,            0.006766
                  51,            0.015257,           0.0092226,           0.0026382,             0.95143,             0.94035,             0.96806,             0.81803,            0.011109,           0.0046555,           0.0026689,              0.0067,              0.0067,              0.0067
                  52,            0.015126,           0.0091923,           0.0027598,             0.95537,             0.94347,             0.97145,             0.82657,            0.010659,           0.0045185,            0.002459,            0.006634,            0.006634,            0.006634
                  53,            0.015245,           0.0091846,           0.0025747,             0.95313,             0.94565,             0.97164,             0.82735,            0.010709,           0.0045218,           0.0024649,            0.006568,            0.006568,            0.006568
                  54,             0.01478,           0.0090453,           0.0026128,             0.94262,             0.94392,              0.9679,             0.82753,            0.010494,           0.0044856,           0.0031376,            0.006502,            0.006502,            0.006502
                  55,             0.01509,           0.0089781,           0.0024807,             0.95346,              0.9389,              0.9662,             0.82227,            0.010715,           0.0045932,           0.0026715,            0.006436,            0.006436,            0.006436
                  56,            0.014837,           0.0090442,            0.002538,             0.94857,             0.93554,             0.97121,             0.82602,            0.010923,           0.0046382,           0.0026834,             0.00637,             0.00637,             0.00637
                  57,            0.014815,           0.0089672,           0.0026092,             0.94272,              0.9521,             0.97113,             0.83442,            0.010407,           0.0044109,           0.0025576,            0.006304,            0.006304,            0.006304
                  58,            0.014466,           0.0090043,           0.0024987,             0.95321,             0.94506,             0.97284,             0.83688,            0.010153,           0.0043082,           0.0026054,            0.006238,            0.006238,            0.006238
                  59,            0.014447,            0.008948,            0.002491,             0.94962,             0.94769,             0.97223,              0.8398,            0.010234,           0.0043378,           0.0024917,            0.006172,            0.006172,            0.006172
                  60,            0.014217,           0.0088355,           0.0024853,             0.95114,             0.93638,              0.9684,             0.82952,            0.010434,           0.0044705,           0.0027596,            0.006106,            0.006106,            0.006106
                  61,            0.014253,           0.0087936,            0.002442,             0.94655,             0.94744,             0.97105,             0.83505,            0.010201,           0.0043336,           0.0024321,             0.00604,             0.00604,             0.00604
                  62,            0.014334,           0.0088686,           0.0025458,             0.96408,              0.9421,             0.97287,             0.83854,            0.010029,           0.0042879,           0.0023533,            0.005974,            0.005974,            0.005974
                  63,            0.013937,           0.0087062,           0.0024328,             0.95883,             0.94065,             0.96858,             0.83667,            0.010125,            0.004403,           0.0026163,            0.005908,            0.005908,            0.005908
                  64,            0.013939,           0.0086453,           0.0023807,             0.96438,             0.94696,             0.97366,             0.83828,            0.010058,           0.0042617,           0.0023197,            0.005842,            0.005842,            0.005842
                  65,            0.014038,           0.0087355,           0.0024088,             0.95681,             0.94204,             0.96943,             0.83805,            0.010072,           0.0043192,            0.002518,            0.005776,            0.005776,            0.005776
                  66,            0.013681,           0.0085954,           0.0024266,             0.95947,             0.94542,             0.97043,             0.83777,           0.0099855,           0.0043076,           0.0024705,             0.00571,             0.00571,             0.00571
                  67,            0.013942,           0.0086891,           0.0023606,             0.95384,             0.93348,             0.96603,             0.82914,            0.010366,           0.0044758,           0.0027773,            0.005644,            0.005644,            0.005644
                  68,            0.013429,           0.0083904,           0.0024171,             0.95736,             0.95281,             0.97245,             0.83924,           0.0097534,           0.0041956,           0.0022217,            0.005578,            0.005578,            0.005578
                  69,            0.013531,           0.0084773,           0.0022583,              0.9564,             0.95398,             0.97428,             0.84425,           0.0097816,           0.0041575,           0.0021931,            0.005512,            0.005512,            0.005512
                  70,            0.013638,           0.0086246,           0.0022259,              0.9595,             0.94847,             0.96886,             0.84077,           0.0097773,           0.0042854,           0.0023089,            0.005446,            0.005446,            0.005446
                  71,            0.013417,           0.0084142,           0.0022258,              0.9577,             0.95116,             0.97134,             0.84274,            0.009862,           0.0042124,           0.0022104,             0.00538,             0.00538,             0.00538
                  72,            0.013287,           0.0084623,            0.002161,             0.95389,              0.9456,             0.97101,              0.8445,           0.0097274,           0.0042003,            0.002315,            0.005314,            0.005314,            0.005314
                  73,            0.013362,            0.008304,           0.0022583,             0.95838,             0.94449,             0.96967,             0.84615,           0.0096877,           0.0042203,           0.0024703,            0.005248,            0.005248,            0.005248
                  74,            0.013228,           0.0083831,           0.0021943,             0.95429,             0.94928,              0.9725,             0.84611,           0.0095631,           0.0041331,           0.0023556,            0.005182,            0.005182,            0.005182
                  75,            0.013075,           0.0083683,           0.0022367,             0.96008,              0.9549,              0.9728,              0.8502,           0.0093705,           0.0040881,           0.0023109,            0.005116,            0.005116,            0.005116
                  76,            0.012936,           0.0081936,           0.0021636,              0.9574,             0.95248,             0.97183,              0.8487,           0.0093762,            0.004109,           0.0022632,             0.00505,             0.00505,             0.00505
                  77,            0.012931,           0.0082244,           0.0020887,             0.95544,             0.94607,             0.96961,             0.84927,           0.0094197,           0.0040911,           0.0023801,            0.004984,            0.004984,            0.004984
                  78,            0.012977,           0.0082951,           0.0021434,              0.9513,             0.95531,             0.97119,             0.84902,           0.0093473,           0.0040801,           0.0022672,            0.004918,            0.004918,            0.004918
                  79,             0.01287,           0.0082015,           0.0021439,               0.959,             0.94645,             0.96897,             0.84526,           0.0095213,           0.0041912,           0.0023843,            0.004852,            0.004852,            0.004852
                  80,            0.012508,           0.0080872,            0.002136,             0.95309,             0.94813,             0.97032,             0.84709,           0.0094547,           0.0041053,            0.002303,            0.004786,            0.004786,            0.004786
                  81,            0.012578,           0.0080938,            0.002112,             0.95551,             0.95169,             0.97161,             0.85054,           0.0093338,           0.0040613,           0.0022769,             0.00472,             0.00472,             0.00472
                  82,            0.012666,           0.0080128,           0.0020966,             0.95901,             0.94835,             0.97118,             0.84819,           0.0094799,           0.0041448,            0.002402,            0.004654,            0.004654,            0.004654
                  83,            0.012563,           0.0080401,           0.0021166,             0.96171,             0.95301,             0.97211,             0.84994,           0.0092685,           0.0041153,           0.0022883,            0.004588,            0.004588,            0.004588
                  84,            0.012384,           0.0079463,            0.001929,             0.96091,             0.95425,             0.97418,              0.8541,           0.0091606,           0.0040182,           0.0021625,            0.004522,            0.004522,            0.004522
                  85,            0.012241,           0.0079317,           0.0020275,             0.96279,             0.94813,             0.97141,             0.85287,           0.0092607,           0.0040661,            0.002304,            0.004456,            0.004456,            0.004456
                  86,            0.011969,           0.0077732,           0.0019743,             0.96226,             0.95292,             0.97354,             0.85453,           0.0090975,           0.0039613,           0.0021932,             0.00439,             0.00439,             0.00439
                  87,            0.012229,           0.0076991,           0.0019038,             0.95769,             0.94947,             0.97081,             0.85342,           0.0091692,           0.0039925,           0.0022641,            0.004324,            0.004324,            0.004324
                  88,               0.012,           0.0078363,           0.0018697,             0.96159,             0.95374,             0.97129,              0.8527,           0.0091156,           0.0039821,           0.0021248,            0.004258,            0.004258,            0.004258
                  89,            0.012114,           0.0077473,           0.0019415,             0.96306,             0.95187,             0.97355,             0.85486,           0.0091236,           0.0039305,            0.002196,            0.004192,            0.004192,            0.004192
                  90,            0.011808,           0.0077264,           0.0019412,             0.95615,             0.95548,             0.97387,             0.85659,           0.0090865,           0.0039504,             0.00232,            0.004126,            0.004126,            0.004126
                  91,            0.011819,           0.0077529,           0.0019676,             0.95796,             0.95791,              0.9731,             0.86007,            0.008942,           0.0039273,            0.002177,             0.00406,             0.00406,             0.00406
                  92,            0.011948,           0.0077623,           0.0019157,             0.95989,              0.9514,              0.9711,             0.85492,           0.0089105,           0.0039469,           0.0022028,            0.003994,            0.003994,            0.003994
                  93,            0.011685,           0.0076327,            0.001826,             0.95663,             0.95256,             0.97301,             0.85617,           0.0090642,            0.003976,           0.0021082,            0.003928,            0.003928,            0.003928
