               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.01882,           0.0099944,           0.0033617,             0.95667,              0.9396,              0.9701,             0.78183,            0.013601,           0.0046233,           0.0026639,             0.00769,             0.00769,             0.00769
                  37,            0.018624,           0.0097648,           0.0032254,             0.94095,             0.93856,             0.96354,             0.76167,            0.013996,           0.0047512,           0.0031512,            0.007624,            0.007624,            0.007624
                  38,            0.018571,           0.0096757,           0.0032212,             0.95424,             0.93632,             0.96887,             0.77208,            0.013432,           0.0046134,           0.0027829,            0.007558,            0.007558,            0.007558
                  39,            0.018633,           0.0097542,           0.0032002,             0.94863,             0.92945,              0.9618,             0.77712,             0.01322,            0.004608,            0.003076,            0.007492,            0.007492,            0.007492
                  40,            0.018118,           0.0096891,           0.0031378,             0.95366,             0.94619,             0.97182,             0.78205,            0.013337,           0.0046084,           0.0025984,            0.007426,            0.007426,            0.007426
                  41,            0.018033,           0.0096238,           0.0031167,             0.94858,             0.93592,             0.96404,             0.77625,            0.013245,           0.0045632,            0.002824,             0.00736,             0.00736,             0.00736
                  42,            0.017974,           0.0095664,           0.0031154,             0.95882,             0.94935,             0.97256,             0.78964,            0.012857,           0.0044107,           0.0025477,            0.007294,            0.007294,            0.007294
                  43,            0.017782,           0.0095812,           0.0030352,             0.95883,             0.94534,             0.97117,             0.78943,            0.012672,           0.0044386,           0.0025355,            0.007228,            0.007228,            0.007228
                  44,            0.017556,           0.0096004,            0.003159,             0.95801,             0.93895,             0.97213,             0.79679,            0.012598,           0.0043786,           0.0027646,            0.007162,            0.007162,            0.007162
                  45,             0.01753,            0.009441,           0.0031151,             0.95168,             0.94677,             0.97305,             0.78743,            0.012629,           0.0044095,           0.0024806,            0.007096,            0.007096,            0.007096
                  46,            0.017538,            0.009524,           0.0030096,             0.95064,             0.93644,             0.96622,             0.78253,            0.013243,           0.0046824,           0.0030405,             0.00703,             0.00703,             0.00703
                  47,            0.017344,           0.0094688,           0.0028566,             0.95197,             0.94624,             0.97047,             0.79183,            0.012512,           0.0044152,           0.0024356,            0.006964,            0.006964,            0.006964
                  48,            0.017413,           0.0092992,           0.0029114,             0.96438,              0.9365,             0.97141,             0.79251,            0.012669,           0.0044052,           0.0028666,            0.006898,            0.006898,            0.006898
                  49,            0.017307,           0.0093518,           0.0029063,             0.95746,             0.94052,             0.96956,             0.79671,            0.012412,           0.0043607,           0.0025777,            0.006832,            0.006832,            0.006832
                  50,            0.017252,           0.0092452,           0.0028416,             0.95627,             0.94515,             0.97091,             0.79575,            0.012669,           0.0044011,           0.0025946,            0.006766,            0.006766,            0.006766
                  51,            0.017021,           0.0091543,           0.0028166,             0.95375,              0.9426,             0.97057,             0.78973,            0.012599,           0.0043831,           0.0025811,              0.0067,              0.0067,              0.0067
                  52,            0.016994,           0.0091818,           0.0029744,             0.95369,             0.93939,              0.9693,             0.79375,            0.012644,            0.004482,            0.002717,            0.006634,            0.006634,            0.006634
                  53,             0.01683,           0.0091375,           0.0027956,             0.95298,             0.94126,             0.96761,             0.79688,            0.012359,           0.0044013,           0.0024843,            0.006568,            0.006568,            0.006568
                  54,            0.016738,           0.0090611,            0.002793,             0.95288,             0.94924,             0.97159,             0.79611,            0.012185,             0.00426,           0.0027483,            0.006502,            0.006502,            0.006502
                  55,            0.016538,            0.008869,           0.0027563,             0.95737,             0.94242,             0.96844,             0.79977,            0.012256,           0.0042999,           0.0030835,            0.006436,            0.006436,            0.006436
                  56,            0.016478,           0.0090566,           0.0027391,             0.95613,             0.93919,             0.96753,             0.80106,            0.012214,           0.0043003,           0.0024571,             0.00637,             0.00637,             0.00637
                  57,             0.01646,           0.0089443,           0.0027659,             0.95469,             0.94606,              0.9704,              0.7948,            0.012173,           0.0042954,            0.002443,            0.006304,            0.006304,            0.006304
                  58,            0.016318,           0.0089572,           0.0027473,             0.95428,             0.95143,             0.97293,             0.80662,            0.011794,           0.0041659,           0.0023824,            0.006238,            0.006238,            0.006238
                  59,            0.016316,           0.0089706,           0.0026634,             0.95815,             0.94954,             0.97095,             0.80082,            0.012057,           0.0042898,           0.0024575,            0.006172,            0.006172,            0.006172
                  60,            0.016002,           0.0088455,           0.0026205,             0.95272,             0.94652,             0.97108,             0.79995,            0.012106,           0.0043445,            0.002427,            0.006106,            0.006106,            0.006106
                  61,            0.015798,           0.0087095,           0.0025848,             0.95813,             0.95199,             0.97304,             0.80263,            0.011737,            0.004172,           0.0024057,             0.00604,             0.00604,             0.00604
                  62,            0.016093,           0.0088147,           0.0026896,             0.95502,             0.94601,             0.96952,             0.80106,              0.0119,           0.0042128,           0.0023767,            0.005974,            0.005974,            0.005974
                  63,            0.016072,           0.0087465,           0.0026018,             0.95098,             0.94767,             0.97037,             0.80456,            0.012074,           0.0042378,           0.0027521,            0.005908,            0.005908,            0.005908
                  64,            0.015727,           0.0086746,           0.0025363,             0.95484,             0.93848,             0.96869,             0.79808,            0.011888,           0.0041881,           0.0029652,            0.005842,            0.005842,            0.005842
                  65,            0.015797,           0.0087812,           0.0025624,             0.95761,             0.94564,             0.97161,             0.80399,            0.011755,           0.0041671,           0.0025992,            0.005776,            0.005776,            0.005776
                  66,            0.015652,           0.0085469,           0.0025987,             0.95749,             0.94716,             0.97086,             0.80179,            0.011843,           0.0041796,           0.0023923,             0.00571,             0.00571,             0.00571
                  67,            0.015629,           0.0086473,           0.0025099,             0.95575,             0.95231,             0.97468,             0.81045,            0.011669,           0.0041695,           0.0026601,            0.005644,            0.005644,            0.005644
                  68,            0.015485,           0.0085257,           0.0026351,             0.95214,             0.95217,             0.97307,             0.81357,            0.011365,           0.0040904,           0.0024831,            0.005578,            0.005578,            0.005578
                  69,            0.015381,           0.0085184,           0.0025397,             0.96356,             0.94754,             0.97198,             0.80561,            0.011729,           0.0041941,           0.0023348,            0.005512,            0.005512,            0.005512
                  70,             0.01529,           0.0085665,           0.0024609,              0.9598,             0.95069,             0.97349,             0.81279,            0.011487,           0.0041597,           0.0022269,            0.005446,            0.005446,            0.005446
                  71,            0.015172,           0.0083843,           0.0024292,             0.96355,             0.95049,             0.97371,              0.8098,            0.011351,           0.0040924,           0.0024843,             0.00538,             0.00538,             0.00538
                  72,            0.015104,           0.0084742,           0.0023835,             0.96037,             0.94864,             0.97129,             0.80728,            0.011453,           0.0041355,           0.0023951,            0.005314,            0.005314,            0.005314
                  73,            0.015002,           0.0082613,           0.0023994,             0.96289,             0.94865,             0.97329,             0.80761,            0.011517,           0.0041079,           0.0025563,            0.005248,            0.005248,            0.005248
                  74,            0.014918,           0.0083789,           0.0023767,              0.9549,              0.9499,             0.97013,             0.80521,            0.011399,           0.0041233,           0.0024623,            0.005182,            0.005182,            0.005182
                  75,            0.014878,           0.0083948,           0.0024163,             0.96404,             0.94794,             0.97091,             0.81116,            0.011443,           0.0041244,            0.002764,            0.005116,            0.005116,            0.005116
                  76,              0.0147,           0.0082856,           0.0024101,             0.95855,             0.94419,             0.97127,              0.8101,            0.011563,           0.0042368,           0.0024736,             0.00505,             0.00505,             0.00505
                  77,            0.014727,           0.0083012,           0.0023754,             0.96047,             0.94769,             0.97021,             0.81335,             0.01132,           0.0041408,           0.0025319,            0.004984,            0.004984,            0.004984
                  78,            0.014714,           0.0083283,           0.0022992,             0.96289,             0.94286,             0.96972,              0.8117,            0.011285,           0.0041436,           0.0022954,            0.004918,            0.004918,            0.004918
                  79,            0.014551,           0.0082176,           0.0023088,             0.95826,             0.94909,                0.97,             0.81446,            0.011261,           0.0041403,           0.0025174,            0.004852,            0.004852,            0.004852
                  80,             0.01448,           0.0081675,           0.0023711,             0.96024,             0.94694,             0.97129,             0.81149,            0.011359,           0.0041351,           0.0023721,            0.004786,            0.004786,            0.004786
                  81,            0.014418,           0.0082321,           0.0023008,             0.95455,             0.95119,             0.97168,             0.81329,            0.011123,             0.00403,           0.0024717,             0.00472,             0.00472,             0.00472
                  82,             0.01434,           0.0080494,           0.0022551,             0.95737,             0.95039,             0.97163,             0.81133,            0.011216,           0.0040265,           0.0022174,            0.004654,            0.004654,            0.004654
                  83,            0.014146,           0.0080613,           0.0023021,             0.95966,              0.9474,             0.97128,             0.81696,            0.011073,           0.0040287,           0.0024226,            0.004588,            0.004588,            0.004588
